metric,value
reason,task_status_DONE
base_frame,base_link
left_frame,mj_left_hand
right_frame,mj_right_hand
sync_target_mm,5.000000
ee_target_mm,2.000000
sync_sample_count,327
sync_error_min_mm,0.000000
sync_error_mean_mm,0.017909
sync_error_p95_mm,0.107235
sync_error_max_mm,0.455182
sync_within_target_pass,PASS
energy_proxy_j,419.094350
power_sample_count,12763
power_mean_abs,16.410324
descend_terminal_error_valid,true
ee_terminal_error_mm,28.684604
ee_within_target_pass,FAIL
stage_transition_count,10
tf_lookup_miss_count,49
joint_payload_missing_count,0
joint_dt_invalid_count,1631
joint_time_invalid_count,0
joint_power_invalid_count,0
descend_ref_capture_fail_count,0
descend_terminal_eval_fail_count,0
sync_samples_csv,/home/lidio/franka_ws_1/experiment_results/reports/task_metrics_20260409_103030_rigid_20260409_103100_sync_samples.csv
